Date,qcln
11-Jun-14,18.86
12-Jun-14,18.84
13-Jun-14,19.11
16-Jun-14,19.56
17-Jun-14,20.23
18-Jun-14,20.32
19-Jun-14,20.18
20-Jun-14,20.27
23-Jun-14,20.37
24-Jun-14,19.93
25-Jun-14,20.2
26-Jun-14,20.28
27-Jun-14,20.4
30-Jun-14,20.55
1-Jul-14,20.68
2-Jul-14,20.52
3-Jul-14,20.57
7-Jul-14,20.08
8-Jul-14,19.69
9-Jul-14,19.86
10-Jul-14,19.66
11-Jul-14,19.72
14-Jul-14,19.82
15-Jul-14,19.64
16-Jul-14,19.65
17-Jul-14,19.26
18-Jul-14,19.69
21-Jul-14,19.84
22-Jul-14,20.01
23-Jul-14,19.63
24-Jul-14,19.55
25-Jul-14,19.33
28-Jul-14,19.49
29-Jul-14,19.45
30-Jul-14,19.66
31-Jul-14,19.09
1-Aug-14,18.94
4-Aug-14,19.07
5-Aug-14,19.13
6-Aug-14,19.38
7-Aug-14,19.52
8-Aug-14,19.53
11-Aug-14,19.92
12-Aug-14,19.69
13-Aug-14,19.79
14-Aug-14,20
15-Aug-14,20
18-Aug-14,20.28
19-Aug-14,20.44
20-Aug-14,20.73
21-Aug-14,20.7
22-Aug-14,20.82
25-Aug-14,20.89
26-Aug-14,20.92
27-Aug-14,20.87
28-Aug-14,20.77
29-Aug-14,20.94
2-Sep-14,21.06
3-Sep-14,21
4-Sep-14,21.11
5-Sep-14,21.11
8-Sep-14,21.25
9-Sep-14,20.81
10-Sep-14,20.79
11-Sep-14,20.84
12-Sep-14,20.77
15-Sep-14,20.05
16-Sep-14,20.21
17-Sep-14,20.35
18-Sep-14,20.38
19-Sep-14,20.08
22-Sep-14,19.51
23-Sep-14,19.48
24-Sep-14,19.68
25-Sep-14,19.34
26-Sep-14,19.48
29-Sep-14,19.45
30-Sep-14,19.09
1-Oct-14,18.61
2-Oct-14,18.67
3-Oct-14,18.81
6-Oct-14,18.17
7-Oct-14,17.79
8-Oct-14,18.11
9-Oct-14,17.3
10-Oct-14,16.51
13-Oct-14,15.8
14-Oct-14,16.03
15-Oct-14,16.3
16-Oct-14,16.63
17-Oct-14,16.66
20-Oct-14,17.01
21-Oct-14,17.47
22-Oct-14,17
23-Oct-14,17.32
24-Oct-14,17.38
27-Oct-14,17.17
28-Oct-14,17.73
29-Oct-14,17.63
30-Oct-14,17.72
31-Oct-14,18.27
3-Nov-14,18.28
4-Nov-14,18.1
5-Nov-14,17.95
6-Nov-14,17.77
7-Nov-14,17.64
10-Nov-14,17.78
11-Nov-14,17.75
12-Nov-14,17.65
13-Nov-14,17.32
14-Nov-14,17.45
17-Nov-14,17.27
18-Nov-14,17.92
19-Nov-14,17.67
20-Nov-14,17.85
21-Nov-14,17.96
24-Nov-14,18.13
25-Nov-14,18.1
26-Nov-14,18.23
28-Nov-14,17.77
1-Dec-14,17.21
2-Dec-14,17.38
3-Dec-14,17.66
4-Dec-14,17.54
5-Dec-14,17.73
8-Dec-14,17.13
9-Dec-14,17.37
10-Dec-14,16.85
11-Dec-14,16.79
12-Dec-14,16.55
15-Dec-14,16.37
16-Dec-14,16.27
17-Dec-14,16.63
18-Dec-14,17.06
19-Dec-14,17.18
22-Dec-14,17.26
23-Dec-14,17.3
24-Dec-14,17.4
26-Dec-14,17.52
29-Dec-14,17.47
30-Dec-14,17.22
31-Dec-14,17.23
2-Jan-15,17.29
5-Jan-15,16.7
6-Jan-15,16.34
7-Jan-15,16.47
8-Jan-15,16.88
9-Jan-15,16.85
12-Jan-15,16.73
13-Jan-15,16.84
14-Jan-15,16.71
15-Jan-15,16.21
16-Jan-15,16.38
20-Jan-15,16.26
21-Jan-15,16.42
22-Jan-15,16.64
23-Jan-15,16.81
26-Jan-15,17.14
27-Jan-15,17.1
28-Jan-15,16.73
29-Jan-15,16.84
30-Jan-15,16.6
2-Feb-15,17.05
3-Feb-15,17.58
4-Feb-15,17.4
5-Feb-15,17.6
6-Feb-15,17.57
9-Feb-15,17.58
10-Feb-15,17.75
11-Feb-15,17.76
12-Feb-15,17.96
13-Feb-15,18.05
17-Feb-15,18.11
18-Feb-15,18.09
19-Feb-15,18
20-Feb-15,18.14
23-Feb-15,18.04
24-Feb-15,18.53
25-Feb-15,18.42
26-Feb-15,18.46
27-Feb-15,18.41
2-Mar-15,18.66
3-Mar-15,18.44
4-Mar-15,18.4
5-Mar-15,18.79
6-Mar-15,18.5
9-Mar-15,18.44
10-Mar-15,18.17
11-Mar-15,18.27
12-Mar-15,18.37
13-Mar-15,18.32
16-Mar-15,18.4
17-Mar-15,18.61
18-Mar-15,18.85
19-Mar-15,18.84
20-Mar-15,18.98
23-Mar-15,19.06
24-Mar-15,19.1
25-Mar-15,18.44
26-Mar-15,18.31
27-Mar-15,18.47
30-Mar-15,18.65
31-Mar-15,18.55
1-Apr-15,18.58
2-Apr-15,18.7
6-Apr-15,18.89
7-Apr-15,18.87
8-Apr-15,18.87
9-Apr-15,19.04
10-Apr-15,19.18
13-Apr-15,19.1
14-Apr-15,19.03
15-Apr-15,19.41
16-Apr-15,19.5
17-Apr-15,19.16
20-Apr-15,19.38
21-Apr-15,19.46
22-Apr-15,19.57
23-Apr-15,19.65
24-Apr-15,19.26
27-Apr-15,19.25
28-Apr-15,19.42
29-Apr-15,19.28
30-Apr-15,18.88
1-May-15,19
4-May-15,19.13
5-May-15,18.82
6-May-15,18.65
7-May-15,18.98
8-May-15,19.33
11-May-15,19.44
12-May-15,19.34
13-May-15,19.42
14-May-15,19.6
15-May-15,19.69
18-May-15,19.76
19-May-15,19.55
20-May-15,19.54
21-May-15,19.68
22-May-15,19.76
26-May-15,19.46
27-May-15,19.74
28-May-15,19.8
29-May-15,19.6
1-Jun-15,19.62
2-Jun-15,19.58
3-Jun-15,19.6
4-Jun-15,19.29
5-Jun-15,19.48
8-Jun-15,19.26
9-Jun-15,19.1
10-Jun-15,19.29
11-Jun-15,19.37
12-Jun-15,19.26
15-Jun-15,19.38
16-Jun-15,19.45
17-Jun-15,19.54
18-Jun-15,19.74
19-Jun-15,19.63
22-Jun-15,19.62
23-Jun-15,19.74
24-Jun-15,19.51
25-Jun-15,19.38
26-Jun-15,19.07
29-Jun-15,18.42
30-Jun-15,18.46
1-Jul-15,18.28
2-Jul-15,18.29
6-Jul-15,18
7-Jul-15,18.11
8-Jul-15,17.57
9-Jul-15,17.64
10-Jul-15,17.92
13-Jul-15,18.08
14-Jul-15,18.22
15-Jul-15,17.93
16-Jul-15,17.95
17-Jul-15,17.88
20-Jul-15,17.9
21-Jul-15,17.67
22-Jul-15,17.21
23-Jul-15,17.15
24-Jul-15,16.94
27-Jul-15,16.79
28-Jul-15,17.07
29-Jul-15,17.35
30-Jul-15,17.37
31-Jul-15,17.06
3-Aug-15,16.75
4-Aug-15,16.68
5-Aug-15,17.09
6-Aug-15,16.33
7-Aug-15,16.06
10-Aug-15,16.33
11-Aug-15,15.83
12-Aug-15,16.1
13-Aug-15,16.12
14-Aug-15,16.07
17-Aug-15,16.28
18-Aug-15,16.11
19-Aug-15,15.72
20-Aug-15,15.09
21-Aug-15,14.59
24-Aug-15,14.31
25-Aug-15,14
26-Aug-15,14.38
27-Aug-15,14.89
28-Aug-15,15.14
31-Aug-15,15.18
1-Sep-15,14.73
2-Sep-15,14.98
3-Sep-15,15.25
4-Sep-15,14.98
8-Sep-15,15.45
9-Sep-15,15.27
10-Sep-15,15.06
11-Sep-15,15.1
14-Sep-15,14.97
15-Sep-15,15.22
16-Sep-15,15.42
17-Sep-15,15.42
18-Sep-15,15.13
21-Sep-15,15.05
22-Sep-15,14.7
23-Sep-15,14.41
24-Sep-15,14.36
25-Sep-15,14.22
28-Sep-15,13.66
29-Sep-15,13.65
30-Sep-15,14.03
1-Oct-15,13.87
2-Oct-15,14.42
5-Oct-15,14.94
6-Oct-15,15.03
7-Oct-15,15.3
8-Oct-15,15.38
9-Oct-15,15.41
12-Oct-15,15.26
13-Oct-15,15.13
14-Oct-15,15.46
15-Oct-15,15.51
16-Oct-15,15.42
19-Oct-15,15.3
20-Oct-15,15.14
21-Oct-15,14.78
22-Oct-15,15.03
23-Oct-15,15.16
26-Oct-15,15.09
27-Oct-15,14.74
28-Oct-15,15.16
29-Oct-15,15.08
30-Oct-15,14.96
2-Nov-15,15.2
3-Nov-15,15.4
4-Nov-15,15.51
5-Nov-15,15.34
6-Nov-15,15.44
9-Nov-15,15.22
10-Nov-15,14.75
11-Nov-15,14.58
12-Nov-15,14.21
13-Nov-15,14.07
16-Nov-15,14.3
17-Nov-15,13.92
18-Nov-15,14.27
19-Nov-15,14.25
20-Nov-15,14.36
23-Nov-15,14.33
24-Nov-15,14.55
25-Nov-15,14.58
27-Nov-15,14.68
30-Nov-15,14.82
1-Dec-15,15.17
2-Dec-15,15.25
3-Dec-15,15.2
4-Dec-15,15.26
7-Dec-15,15.03
8-Dec-15,14.9
9-Dec-15,14.92
10-Dec-15,14.87
11-Dec-15,14.65
14-Dec-15,14.87
15-Dec-15,15.1
16-Dec-15,16.02
17-Dec-15,15.9
18-Dec-15,15.92
21-Dec-15,16.1
22-Dec-15,15.95
23-Dec-15,16.07
24-Dec-15,16.21
28-Dec-15,16.08
29-Dec-15,16.13
30-Dec-15,16.13
31-Dec-15,16.05
4-Jan-16,15.86
5-Jan-16,15.93
6-Jan-16,15.54
7-Jan-16,14.74
8-Jan-16,14.67
11-Jan-16,14.56
12-Jan-16,14.47
13-Jan-16,13.95
14-Jan-16,14.03
15-Jan-16,13.6
19-Jan-16,13.38
20-Jan-16,13.54
21-Jan-16,13.7
22-Jan-16,14.08
25-Jan-16,13.8
26-Jan-16,14.05
27-Jan-16,13.84
28-Jan-16,13.96
29-Jan-16,14.35
1-Feb-16,14.39
2-Feb-16,13.86
3-Feb-16,13.9
4-Feb-16,14.1
5-Feb-16,13.72
8-Feb-16,13.25
9-Feb-16,13.23
10-Feb-16,12.88
11-Feb-16,12.62
12-Feb-16,12.76
16-Feb-16,13.26
17-Feb-16,13.64
18-Feb-16,13.6
19-Feb-16,13.46
22-Feb-16,13.71
23-Feb-16,13.48
24-Feb-16,13.83
25-Feb-16,14.04
26-Feb-16,14.11
29-Feb-16,14.24
1-Mar-16,14.2
2-Mar-16,14.44
3-Mar-16,14.51
4-Mar-16,14.48
7-Mar-16,14.56
8-Mar-16,14.41
9-Mar-16,14.62
10-Mar-16,14.6
11-Mar-16,14.87
14-Mar-16,14.89
15-Mar-16,14.82
16-Mar-16,14.94
17-Mar-16,15.14
18-Mar-16,15.19
21-Mar-16,15.16
22-Mar-16,15.02
23-Mar-16,14.48
24-Mar-16,14.56
28-Mar-16,14.54
29-Mar-16,14.77
30-Mar-16,14.83
31-Mar-16,14.81
1-Apr-16,14.87
4-Apr-16,14.75
5-Apr-16,14.77
6-Apr-16,14.97
7-Apr-16,14.71
8-Apr-16,14.72
11-Apr-16,14.76
12-Apr-16,14.79
13-Apr-16,15.16
14-Apr-16,15.1
15-Apr-16,15.03
18-Apr-16,15.22
19-Apr-16,15.12
20-Apr-16,15.33
21-Apr-16,15.4
22-Apr-16,15.47
25-Apr-16,15.22
26-Apr-16,15.49
27-Apr-16,15.63
28-Apr-16,15.23
29-Apr-16,14.9
2-May-16,14.93
3-May-16,14.52
4-May-16,14.26
5-May-16,14.08
6-May-16,14.1
9-May-16,14
10-May-16,13.91
11-May-16,13.94
12-May-16,13.75
13-May-16,13.73
16-May-16,13.88
17-May-16,13.7
18-May-16,13.79
19-May-16,13.79
20-May-16,14.07
23-May-16,14.3
24-May-16,14.54
25-May-16,14.6
26-May-16,14.62
27-May-16,14.64
31-May-16,14.72
1-Jun-16,14.66
2-Jun-16,14.65
3-Jun-16,14.6
6-Jun-16,14.83
7-Jun-16,14.97
8-Jun-16,15.01
9-Jun-16,14.88
10-Jun-16,14.41
13-Jun-16,14.3
14-Jun-16,14.3
15-Jun-16,14.3
16-Jun-16,14.25
17-Jun-16,14.21
20-Jun-16,14.46
21-Jun-16,14.42
22-Jun-16,14.21
23-Jun-16,14.36
24-Jun-16,13.74
27-Jun-16,13.28
28-Jun-16,13.74
29-Jun-16,14.04
30-Jun-16,14.29
1-Jul-16,14.39
5-Jul-16,14.15
6-Jul-16,14.24
7-Jul-16,14.22
8-Jul-16,14.55
11-Jul-16,14.74
12-Jul-16,14.83
13-Jul-16,14.73
14-Jul-16,14.91
15-Jul-16,14.84
18-Jul-16,15.03
19-Jul-16,14.96
20-Jul-16,15.14
21-Jul-16,15.03
22-Jul-16,15.07
25-Jul-16,15.14
26-Jul-16,15.63
27-Jul-16,15.57
28-Jul-16,15.45
29-Jul-16,15.46
1-Aug-16,15.44
2-Aug-16,15.28
3-Aug-16,15.39
4-Aug-16,15.25
5-Aug-16,15.43
8-Aug-16,15.44
9-Aug-16,15.38
10-Aug-16,15.09
11-Aug-16,15.16
12-Aug-16,15.17
15-Aug-16,15.28
16-Aug-16,15.15
17-Aug-16,14.97
18-Aug-16,15.12
19-Aug-16,15.12
22-Aug-16,15.09
23-Aug-16,15.23
24-Aug-16,15.03
25-Aug-16,15.07
26-Aug-16,15.05
29-Aug-16,15.07
30-Aug-16,15.05
31-Aug-16,14.98
1-Sep-16,14.96
2-Sep-16,15.03
6-Sep-16,15.1
7-Sep-16,15.1
8-Sep-16,15.1
9-Sep-16,14.63
12-Sep-16,14.8
13-Sep-16,14.48
14-Sep-16,14.38
15-Sep-16,14.57
16-Sep-16,14.58
19-Sep-16,14.73
20-Sep-16,14.68
21-Sep-16,14.68
22-Sep-16,15
23-Sep-16,14.91
26-Sep-16,14.76
27-Sep-16,14.93
28-Sep-16,15.05
29-Sep-16,14.95
30-Sep-16,15.13
3-Oct-16,15.06
4-Oct-16,14.92
5-Oct-16,15.06
6-Oct-16,15.07
7-Oct-16,14.83
10-Oct-16,14.93
11-Oct-16,14.64
12-Oct-16,14.59
13-Oct-16,14.54
14-Oct-16,14.55
17-Oct-16,14.46
18-Oct-16,14.66
19-Oct-16,14.68
20-Oct-16,14.71
21-Oct-16,14.7
24-Oct-16,14.78
25-Oct-16,14.66
26-Oct-16,14.65
27-Oct-16,14.57
28-Oct-16,14.49
31-Oct-16,14.52
1-Nov-16,14.33
2-Nov-16,14.24
3-Nov-16,14.25
4-Nov-16,14.29
7-Nov-16,14.52
8-Nov-16,14.58
9-Nov-16,14.41
10-Nov-16,14.4
11-Nov-16,14.74
14-Nov-16,14.88
15-Nov-16,15.03
16-Nov-16,15.01
17-Nov-16,14.95
18-Nov-16,14.94
21-Nov-16,14.97
22-Nov-16,15.24
23-Nov-16,15.42
25-Nov-16,15.5
28-Nov-16,15.44
29-Nov-16,15.28
30-Nov-16,15.18
1-Dec-16,14.79
2-Dec-16,14.84
5-Dec-16,15.13
6-Dec-16,15.19
7-Dec-16,15.52
8-Dec-16,15.59
9-Dec-16,15.63
12-Dec-16,15.46
13-Dec-16,15.59
14-Dec-16,15.43
15-Dec-16,15.61
16-Dec-16,15.59
19-Dec-16,15.76
20-Dec-16,15.78
21-Dec-16,15.69
22-Dec-16,15.57
23-Dec-16,15.67
27-Dec-16,15.9
28-Dec-16,15.6
29-Dec-16,15.58
30-Dec-16,15.42
3-Jan-17,15.62
4-Jan-17,15.91
5-Jan-17,15.8
6-Jan-17,15.86
9-Jan-17,15.7
10-Jan-17,15.79
11-Jan-17,15.85
12-Jan-17,15.72
13-Jan-17,15.93
17-Jan-17,15.73
18-Jan-17,15.81
19-Jan-17,15.75
20-Jan-17,15.88
23-Jan-17,15.8
24-Jan-17,15.98
25-Jan-17,16.15
26-Jan-17,16.09
27-Jan-17,15.97
30-Jan-17,15.8
31-Jan-17,15.84
1-Feb-17,15.91
2-Feb-17,15.8
3-Feb-17,16.01
6-Feb-17,15.97
7-Feb-17,15.97
8-Feb-17,16.04
9-Feb-17,16.08
10-Feb-17,16.22
13-Feb-17,16.46
